bundleid;store;app_title;description;dev_name;dev_id;fullprice;versionnumber;osreq;latest_patch;content_rating
com.stormid.preventinginfection;android;Preventing Infection At Home;Preventing Infection in Care at Home (PIIC@H)This resource provides a comprehensive toolkit for the application of the Standard Infection Control Precautions (SICP) for all community Health and Social Care staff.It lists common infection risks you may encounter when visiting someone in their own home to provide care. Choose one and it reveals the “must do” SICP guidance to follow that can minimise the risk of spreading infection to you and the person you care for. It also offers key advice on areas to consider and other factors to keep you, and those you care for, safe from the spread of infection.If you just want an update on the Standard Infection Control Precautions, and how they relate to the care you provide in someone’s home, then go directly to the list of SICP for more information.This is an invaluable resource for all and any community staff who visits homes to care for someone.Developed by NHS Education for Scotland, in collaboration with Health Protection Scotland, Care Inspectorate and Scottish Care.;NHS Education for Scotland;NHS+Education+for+Scotland;00;1.1;2.2 and up;2016-04-18;['Everyone']
com.StatPearls.RNC_INFECTION_CONTROL_CIC;android;Nurse Infection Control (CIC);Free questions to try before you buy!Nurse Infection Control (CIC) Multiple Choice Question Review Includes:- Multiple choice fact, scenario and case-based questions- Correct answers and explanations to help you quickly master content- Take practice questions as many times as you wish- Score and transcripts with missed key words to help you evaluate areas that need further studyThe mission of StatPearls is to help you identify and correct knowledge deficits.  We do this by providing high quality, peer-reviewed, educationally sound questions with explanations written by leading educators.StatPearls Publishing, LLC;StatPearls Publishing, LLC;5768971529442162036;00;1.1.7;4.0 and up;2016-05-17;['Everyone']
com.medhand.WRICN;android;Rapid Infection Control Nurs.;This FREE sample of Rapid Infection Control Nursing provides examples of the material to give an inside view of the full content available.  The full version is available for PURCHASE within the app.This Wiley - Blackwell app-book is developed by MedHand Mobile Libraries. Improve your performance with relevant, valid material which is accessed quickly and with minimal effort in the palm of your hand using MedHand’s patented technology.THIS APP-BOOK for Rapid Infection Control Nursingincludes unique functions such as:•	A powerful search•	Bookmarks•	Complete set of medical calculators, Body Mass Index, Peak Expiratory Flows, Dehydration Correction Calculator and more•	Highlighting•	High resolution pictures•	History•	Notes and picture notesThe Rapids are a series of reference and revision pocket books that cover key facts in a simple and memorable way. Each book contains the common conditions that students and newly qualified nurses encounter on the wards, in the community, and on placements. Only the basic core relevant facts are provided to ensure that these books are perfect and concise rapid refreshers.Rapid Infection Control Nursing is an essential read for all frontline nursing staff working in hospitals or community settings. Designed for quick reference, it explores the essential principles of infection control before moving on to an A-Z of the most commonly found infections. Each entry covers how the infection is spread, duration of the infectious period, key infection-control precautions, staff considerations, visitor information, and patient transfer advice.Covering all the key topics in infection prevention and control, this concise and easy-to-read title is the perfect quick-reference book for the wards.Authors: Shona Ross, Sarah FurrowsPublisher: Wiley – Blackwell________________________________________MedHand Mobile Libraries offers a SUBSCRIPTION FREE application without edition upgrade. The apps enables you to make notes, picture notes, search, medical calculators, add bookmarks and review what you previously been reading.MedHand delivers what you need, trusted knowledge at the point of care! Offering most trusted and well recognized medical guidelines provided by excellent publishers like Oxford University Press, McGraw-Hill, PDR Network LLC, Wiley and more.;Indextra AB;Indextra+AB;00;2.3.2;3.0 and up;2015-04-14;['Everyone']
com.andromo.dev686997.app800060;android;All Vaginal Infections & Treatments;It's very very important for all children (girls), women and sometimes men to know everything about vaginal infections and their solutions. Children should be educated at early ages about their  meaning, causes, symptoms, prevention and treatments to help them prevent future problems and prevent living their future life in agony.This  application Contain full details (overview, Causes , risk factors, sign,symptoms, Complications, home remedies, treatments and prevention of each infection and other problems.Some of the infections &  problems included are as follows:1. INFECTIONS:- Bacterial Vaginosis- Trachomonas Infection- Vaginal Yeast Infections- Vaginal Warts2. MISCELLANEOUS ISSUES- Vaginal Bleeding- Vaginal Discharge- Vaginal Dryness- Vaginal Odor- Vaginal Pain- Vaginal CancerThis application  provides all the necessary information you may  need to know about your  vaginal infections & their solutions The text are short,precise, and in simple language to help everyone understand.This app will surely, help you to know all you need and live a happy life.REMEMBER:You can live a healthy and happier life like everyone. You just need to know how to and this application  will help you, surely.Don't forget to share your suggestion,views, requests and advises via our email. Also DON'T FORGET to rate our application. Both will help us improving the applications timely.Thank you & Stay happy & Healthy ! !! !!!.;Free _ apps;Free+_+apps;00;5.0;4.1 and up;2019-08-29;['Everyone']
com.infection.control;android;Infection Control;Who really knows whats going on inside your body? Maybe these guys do! Play as a Helper T cell or Infected Germ as you travel your way around consuming opposing forces without mercy. Play the solo campaign and master your skills and then move onto the big leagues and invite friends and family with the share button to join in on the battle! Each character is equipped with special abilities which will provide you with a unique strategy to consume one another. But the real question is will you be the ONE to control the infection?;Slkool Games;Slkool+Games;00;1;4.1 and up;2019-03-26;['Everyone']
gov.cdc.stdtxguide;android;STD Tx Guide;The STD Tx Guide app is a quick reference guide for healthcare professionals and related parties on the identification of and treatment for sexually transmitted diseases.With the STD Tx Guide app you get:•	Fast access to recommended treatment regimens•	List of common Terms and Abbreviations•	Includes CDC’s guide to Taking a Sexual History•	Push notifications for guideline updatesThe app is a collaboration between CDC's Division of STD Prevention and the Informatics Innovation Unit (IIU) within CDC's Division of Public Health Information Dissemination (DPHID) - Center for Surveillance, Epidemiology and Laboratory Services (CSELS).These guidelines for the treatment of persons who have or are at risk for sexually transmitted diseases (STDs) were updated by CDC after consultation with a group of professionals knowledgeable in the field of STDs who met in Atlanta on April 30–May 2, 2013. The information in this report updates the Sexually Transmitted Diseases Treatment Guidelines, 2010 (MMWR Recomm Rep 2010,59 [No. RR–12]). These updated guidelines discuss 1) alternative treatment regimens for Neisseria gonorrhoeae, 2) the use of nucleic acid amplification tests for the diagnosis of trichomoniasis, 3) alternative treatment options for genital warts, 4) the role of Mycoplasma genitalium in urethritis/cervicitis and treatment-related implications, 5) updated HPV vaccine recommendations and counseling messages, 6) the management of persons who are transgender, 7) annual testing for hepatitis C in persons with HIV infection, 8) updated recommendations for diagnostic evaluation of urethritis, and 9) retesting to detect repeat infection. Physicians and other health-care providers can use these guidelines to assist in the prevention and treatment of STDs.;Centers for Disease Control and Prevention;Centers+for+Disease+Control+and+Prevention;00;1.2.1.2;4.4 and up;2019-06-03;['Everyone']
com.americares;android;I-SPEAR;Americares India Foundation a non-profit organization with support of LTMMC & G Hospital has developed mobile application to train healthcare workers (like Doctors, Nurses etc) on Infection Prevention & Control (IPC).  The android based app will give access to training material consisting of slides with invoice, graphics, guidelines & protocols and pictorials.The mobile application is uniquely designed & featured in small steps, locked chapters & test to make learning innovative, simple, step by step, easy to access, interesting and motivating to ensure, the participants complete their course.This course will provide an opportunity to review in more depth the use of standard infection prevention and control measures. The participant will also learn how you should apply principles of infection control knowledge in practice.Course Content:•	Basic of infection Prevention Control•	Standard Precautions•	Hand Hygiene•	Personal Protective Equipment•	Blood Borne Pathogens•	Safe Injection Practices•	Safe Handling of Needles and Sharps•	Biomedical waste management•	Cleaning, Disinfectants and Sterilization•	Airborne Infection ControlComplete Course Duration: Appx 2 hour divided in 10 chapters of 10-15mins each.Who is this course for?This course is aimed to train clinical healthcare staff and healthcare assistants on Infection Prevention & Control (IPC).Steps of Training Course.•	Assess your IPC Knowledge through a Test on the App.•	Learn IPC through Training Slides•	Watch Training videos to enhance your knowledge and skills.•	Evaluate your knowledge on each section through a test•	Successfully complete 10 tests with >50% to be eligible for the final test•	Appear and pass the Final Test with >50%•	You are now a certified IPC Healthcare Worker.Americares India Foundation is thankful to BMSF for generous financial grant and Department of Microbiology, L.T.M.M. college & General Hospital for technical support to develop this mobile application.;Americaresindia;Americaresindia;00;2.0;5.0 and up;2019-06-29;['Everyone 10+']
com.smart.and.serious.university.ICNURSE;android;Infection Control Nurse Practice Test 3300 Quizzes;This app is a combination of sets, containing practice questions, study cards, terms & concepts for self learning & exam preparation on the topic of Infection Control Nurse (ICN).With this app you can learn on the Go, Anytime & Everywhere.This app is suitable for  students, researchers, resident, doctors, Anatomy & physiology specialists, nurses and medical professionals and of course Medical lecturers, teachers and professors.This app is suitable also for PANCE, MCAT, DAT, COMLEX, PACKRAT, USMLE, NCLEX, HESI, NASM, OAT, NBDE, or PCAT exam candidates.-This app is designed by educators & professors who understand the exact candidate’s needs, it’s gathered from the top educational resources.-We keep the application as simple as possible to let the learner focus only on the content-The Flashcards are exam oriented and designed to enhance quick memorization-The application is designed to let you gain time and efficiency-The Flashcards wording enhances easy understanding to ensure higher exam score.In this application you will get at least 22 study notes quiz sets.Main Features:- Works perfectly Offline- Exam oriented- 5 Study modes- Shareable content- Settings: with flexibility to change font size & background control.- Cost Effective- Rich content- Text- to- speech feature: You can use this app while you are driving, walking, and others to save your time.Invest in your Success Now. Your investment in knowledge, professionalism & expertise is durable  & with a High value added.  It's a High return investment.Disclaimer 1:This application is not dedicated for a specific professional certification, it's just a tool to assist students & professionals to expand their knowledge & in-depth their expertise.Disclaimer 2:The publisher of this android app is not affiliated with or endorsed by any testing organization. All organizational and test names are trademarks of their respective owners. The content of the application might include inaccuracies or typographical errors, for which the owner cannot be held liable.;Smart & Serious Software 3S;Smart+%26+Serious+Software+3S;199;1.0;4.0.3 and up;2018-10-22;['Everyone']
com.elsevier.stmj.jat.newsstand.yjhin;android;Journal of Hospital Infection;The Journal of Hospital InfectionThe Official Journal of the Healthcare Infection SocietyIt just got a whole lot easier to keep up with the latest scientific research and articles on all aspects of hospital infection. The Journal of Hospital Infection app brings you the convenience of reading your favorite journal from anywhere in the world with just a tap. Now available for android smartphones and tablets!• Stay ahead with alerts when new issues are available and read Articles in Press throughout the month• Experience innovative digital content with the newly introduced Article enhancements, featuring AudioSlides, Virtual Microscope, 3D Radiological Viewer, 3D Neuroimaging Viewer, and more.• Get access to the journal content on the app via your institution’s IP• Enjoy Open Access and Open Archive Content without having to login• Accessibility support to assist the visually impaired• Interact with figures, tables, and supplementary content• Stream multimedia for faster viewing or download for later• Take notes, highlight articles and share via email and social media• Personalize your experience with My Reading List and save articles for offline readingJournal Subscribers: Log in with the same username and password that grants you access to the full journal content on the Journal of Hospital Infection website. These credentials will allow full access to all content on the app.About The Journal of Hospital InfectionThe Journal of Hospital Infection is the editorially independent scientific publication of the Healthcare Infection Society. The aim of the Journal is to publish high quality research and information relating to infection prevention and control that is relevant to an international audience.The Journal welcomes submissions that relate to all aspects of infection prevention and control in healthcare settings. This includes submissions that:• provide new insight into the epidemiology, surveillance, or prevention and control of healthcare-associated infections and antimicrobial resistance in healthcare settings,• provide new insight into cleaning, disinfection and decontamination• provide new insight into the design of healthcare premises.• describe novel aspects of outbreaks of infection,• throw light on techniques for effective antimicrobial stewardship,• describe novel techniques (laboratory-based or point of care) for the detection of infection or antimicrobial resistance in the healthcare setting, particularly if these can be used to facilitate infection prevention and control,• improve understanding of the motivations of safe healthcare behaviour, or describe techniques for achieving behavioural and cultural change,• improve understanding of the use of IT systems in infection surveillance and prevention and control.Our privacy policy is here: http://www.elsevier.com/EULA_non-Apple_apps;Elsevier Inc;Elsevier+Inc;00;7.5.1;4.4 and up;2019-07-16;['Everyone']
com.stdi;android;Sexually Transmitted Disease and Infections;This app provides necessary information about Sexually Transmitted Disease and Infections (STD) and it is available in more than 25+ different languages.It will be the best for people who are eager to learn about sexually transmitted infections and Diseases .It has complete information about Disease, prevention, complications and so on. Each Disease in the app is being described with following details:•	Introduction of diseases•	Most common Sign and Symptoms of diseases•	How to Diagnosis and Tests of diseases•	Basic Treatment of diseases•	Major Complications being caused by diseases•	Prevention to taken for diseasesKey features of the app:•	Having information for more than 20+ Disease•	Available in 25+ languages (Read in your own local language)•	User friendly•	Light weight•	No login or signup required•	Easy to useApp provides information about following Diseases in 25+ different languages:•	Bacterial vaginosis•	Chlamydia•	Gonorrhoea•	Trichomoniasis•	Chancroid•	Lymphogranuloma venereum (LGV)•	Scabies•	Syphilis•	HIV AIDS•	Genital herpes•	Human papillomavirus (hpv) infection and genital warts•	Hepatitis b•	Hepatitis c•	Pubic lice(crabs)•	Candidiasis (yeast infection)•	Molluscum contagiosum•	Herpes simplex virus•	Enfermedad inflamatoria pelvicaInformation inside app is available in Arabic, Bengali, Chinese, Dutch, English, French, German, Gujarati, Hindi, Italian, Japanese, Kannada, Malayalam, Marathi, Persian, Portuguese, Punjabi, Russian, Sindhi, Spanish, Tamil, Telugu and Urdu.Information has been collected from various sources provide you people the very correct and useful information.Please provide your feedback about app to keep it improving.;Sonal Hadiya;Sonal+Hadiya;00;1.1;4.4 and up;2019-04-01;['Mature 17+', 'Sexual Themes']
com.topoflearning.free.medical.vibering.infectious.diseases.application;android;Infectious Disease Full Review;If you intend to become an expert in Infectious Diseases, this app is what you need, It starts fro the introduction to go deeper in the field. It's highly recommended for USMLE Step 2 CK and equivalent exams.This is the only specialized Infectious diseases app that covers all the Infectious diseases science spectrum from the introduction to the expertise.Get +2830 Infectious diseases notes & questions with answers & prepare your exam easily within less time. you could become an expert in Infectious diseases if you master all the topics covered by this  professional app.During this promotion you will get 4 apps for the price of one:-Infectious diseases notes & questions- Medical abbreviations-Medical terminology  sorted by topic-Medical Law & EthicsUS Doctors, who prepare USMLE exam use this app, here's why:-Tailored study notes to suit your preparation and exam needs-Less time for preparation-Exam focused questions and answers-Developed to let you succeed from the first attempt-Affordable price to all student , researchers, professionals, and doctors.This app is intended to  students, researchers, resident, doctors, Anatomy & physiology specialists, nurses and medical professionals and of course Medical lecturers, teachers and professors.Get a better score in your  USMLE  (step1, step2  CS & CK), PANCE, MCAT, DAT, COMLEX, OAT, NBDE,  or PCAT exam, and the most important  is to fall in love with the material, it worth all the attention.Infectious disease is a medical specialty dealing with the control and treatment of infections. An infectious disease (ID) specialist's practice may consist largely of managing nosocomial (hospital-acquired) infections, or it may be out-patient based, in which case it focuses more on community-acquired infections. ID is historically associated with travel medicine and tropical medicine, as many diseases acquired in tropical and subtropical areas are infective in nature. ID specialists typically serve as consultants in cases of complex infections or immunologic issues, and often manage patients with HIV/AIDS and other forms of immunodeficiency.In the US, ID is a subspecialty of internal medicine or pediatrics (i.e., an internist or pediatrician trains for an additional 1-2 years as a medical fellow to qualify as an ID specialist and sit for the ID boards).There are four main kinds of germs:Bacteria - one-celled germs that multiply quickly and may release chemicals which can make you sickViruses - capsules that contain genetic material, and use your own cells to multiplyFungi - primitive plants, like mushrooms or mildewProtozoa - one-celled animals that use other living things for food and a place to liveNIH: National Institute of Allergy and Infectious DiseasesThis educational & medical application is intended to r:NCLEX-RNNCLEX-PNNCLEXCNA,ANP - Adult Nurse PractitionerFNP - Family Nurse PractitionerA-GNP - Adult-Gero Primary Nurse PractitionerANP-BC Adult Nurse PractitionerFNP-BC Family Nurse PractitionerPNP-BC Pediatric Nurse PractitionerACNP-BC Acute Care Nurse PractitionerGNP - BC Gerontological Nurse PractitionerPMHNP-BC Adult Psychiatric and Mental Health Nurse PractitionerPMHNP-BC Family Psychiatric and Mental Health Nurse PractitionerCNRN®SCRN®and also for USMLE, COMLEX, ANCC Certification Center.This app is also suitable for  students, researchers, resident, doctors, Anatomy & physiology specialists, nurses and medical professionals and of course Medical lecturers, teachers and professors.Get a better score in your  USMLE  (step1, step2  CS & CK), PANCE, MCAT, DAT, COMLEX,CNA, OAT, NBDE,  or PCAT exam, and the most important  is to fall in love with the material, it worth all the attention.;Top of Learning;5921705092973127988;00;1.0;2.0 and up;2015-04-26;['Everyone']
com.maithu.ebola;android;Ebola Guidelines;This app was created by Medical eGuides using content from the World Health Organisation (WHO) and the United States Centers for Disease Control and Prevention (CDC).  It is provided Free of Charge 'as is' to provide Healthcare Personnel with guidelines on Ebola in an easy to use format, at the point of care.Medical eGuides is a multi-award winning company based in Dublin, Ireland providing eHealth solutions to the Healthcare industry.  Our solutions improve Patient Outcomes by giving Healthcare workers the correct information at the point of care and in an accessible format.  Personnel always have the correct and most recent guidelines, as updates are pushed automatically to the app.If you would like to discuss any requirements for delivery of app based clinical guidelines, please contact:info@medicaleguides.comSource content:Interim Infection Prevention and Control Guidance for Care of Patients with Suspected or Confirmed Filovirus Haemorrhagic Fever in Health-Care Settings, with Focus on Ebola.World Health OrganisationSeptember 2014.Ref: WHO/HIS/SDS/2014.4http://apps.who.int/iris/bitstream/10665/130596/1/WHO_HIS_SDS_2014.4_eng.pdf?ua=1&ua=1&ua=1Ebola virus key factsWHO http://www.who.int/mediacentre/factsheets/fs103/en/Ebola contact tracingUnited States Centers for Disease Control and Prevention (CDC)http://www.cdc.gov/vhf/ebola/pdf/contact-tracing.pdfSpecimen Collection, Transport, Testing, and Submission for Patients with Suspected Infection with Ebola Virus Disease, CDChttp://www.cdc.gov/vhf/ebola/pdf/ebola-lab-guidance.pdf;MEG Support Tools;MEG+Support+Tools;00;1.0;3.0 and up;2014-10-11;['Everyone']
