bundleid;store;app_title;description;dev_name;dev_id;fullprice;versionnumber;osreq;latest_patch;content_rating
com.deimosstudio.spacehamsterball;android;Space Hamster 🐹 Roller Bump;🚀🚀🚀🚀🚀The Earth is no longer a good place to live. Humans destroyed the planet and hamsters had to start a space program to move and colonize other star systems. The best and more intelligent rodents worked for all their short lifes to develop the best technology to travel through galaxies.🐹🐹🐹🐹🐹Chubby Mc Cheeks is the captain of the aircrew in the spaceship “Lucky Teeth IX” (apparently the other eight attempts did not have luck at all…) . The mission of the crew is to explore the confines of the galaxy and find a new planet where life is possible.⭐️⭐️⭐️⭐️⭐️In a star far away from our planet, the space ship suddenly stopped working and a lot of foreign garbage appeared on the surface. Is this the clue the astronauts were looking for? Anyway, the first step is to find out what happened to the spaceship.👽👽👽👽👽The captain goes into his hamster ball to investigate and solve the problem! Help the little rodent in his job and fix the spaceship.🕹️🕹️🕹️🕹️🕹️Space Hamster: Roller Bump is an arcade game in which you have to use your skill and the physics to complete a route, dodging all the traps in your way. This is probably the best game about an astronaut hamster rolling in his hamster ball over a space station plagued with alien trash. Play along more than 100 levels and have fun with one of the most addicting apps.🎮🎮🎮🎮🎮The rules are so easy to learn! Just drag your finger on the screen to control the acceleration and direction of the hamster ball. Run over the grid in the ball and avoid the color shapes: they are hot and will destroy your ball. You can touch the white objects, use them to push the color stuff and take them out of your way. You can throw them the ball too and the physic will do the rest! New color forms with amazing effects will be available soon, stay tunned and do not miss the new updates!👾👾👾👾👾Do you want to help this tiny leader in his task and find out if there are aliens out there? Don't wait and download now for free Space Hamster: Roller Bump. You won't find cool games like this anymore!___Did you like the game? Like us on Facebook:https://www.facebook.com/DeimosStudio1Or follow us on our Twitter account:https://twitter.com/DeimosStudio___If you have any question, please contact us at:deimosstudiogames@gmail.com;Deimos Studio;7718084971093230099;00;1.2;5.0 and up;2019-06-06;['Everyone']
com.Not4Humans.AmazingHamster;android;aMAZEing Hamster: a Roll a Ball Adventure;Hamtown is in danger, you must restore the Hamulets before the evil owls attack!The survival of the hamsters is at risk, but the bravest of them counts on your expertise. Travel with Hammie through the dangerous and aMAZEing labyrinths of the world, avoiding the traps before the time is up.Discover ancient civilizations, immerse yourself in the lost city of Atlantis or decipher the mysteries of the digital world. You will need nerves of steel!Will you be the savior of Hamtown? Show up your skills in a Challenging Free Game!Enjoy a Roll a Ball Game like you never seen before.Each maze will be a new challenge. Will you be brave enough?Features:● Free to Play Game!● Explore multiple Worlds.● Roll Hammie´s Hamster Ball rotating your phone.● Avoid the most deadly traps.● Beat your own scores.● Show your skills with this frantic game.● aMAZEing handpainted art.● Original soundtrack.● Daily rewards!● Monthly updates with new worlds to explore.● Seasonal events.History:Hammie is a hamster who lives on the Cheddar's reservation, in the Sedgemoor's district, next to the edge of the lake, he lives with his girlfriend Hammy in their burrow, it´s just three holes far from Hamschool, where he works giving lectures of Ball and Acrobatic Hamster Wheel, (He is a Physical Education teacher).Twenty days left to the onset of winter, and during that night, the crazy foxes broke the sacred Hamulets that keeps the evil owls far from Hamtown. Being on the middle of harvesting time, the hamsters couldn´t afford to leave the hard work to find new ones or they could all starve.A meeting was convened at Hamtown and the ancients spoke about the places where their ancestors got the sacred Hamulets a thousand years ago, dangerous Mazes filled with traps.Hammie, witnessing that the people of Hamtown may be at great risk of the ferocious owls, decided to leave on absence and put on his race glasses to pursue the Greatest Adventure.Reviews"The developers did a great job with their level design. The stages are neither too easy nor too challenging, just perfectly balanced!"- Daikon Media“Not4Humans” created a game, that is full of life, fun and cuteness."- Daikon MediaPlay Now for Free!!!Follow us for the last updates:Twitter: @Not4HumansGamesYoutube: https://www.youtube.com/channel/UCmOyaiRS8JBm_nqb5GOTvBwWebsite: http://not4humans.com/Facebook: facebook.com/Not4humansHave fun playing aMAZEing Hamster!aMAZEing Hamster will be updated often with your suggestions. Do not forget to leave an opinion with your comments.A Game developped byN4H Games.;Not4Humans;Not4Humans;00;1.1;4.1 and up;2018-02-04;['Everyone']
com.Bouland.BallResurrection;android;Ball Resurrection;Ball Resurrection is a free ball balance 3D game combining the elements of arcade and puzzle, where an errant ball is the only character.The main goal of the ball game is to pass through all the levels balancing and reach the maximum score. Various elements and obstacles are being introduced as one moves onto new levels, meaning that the complexity and level of puzzle solving required are gradually increasing as the game progresses.You will find 5 lives to spend and the unique ability to change material and physical characteristics of the ball turning it to wood, stone or paper. However, this feature is to be used only at special transformation points.Features:• Classic gameplay• Deep atmosphere• Modern graphics• Realistic physics• Intuitive controls• No time limitsBall Resurrection is accessible for all ages, easy-to-learn and control. Vivid graphics and addictive gameplay contribute to quick relaxation and bright emotions. Moreover, the ball game develops logical thinking and imagination.;Bouland Games;Bouland+Games;00;1.9.1;5.0 and up;2018-12-31;['Everyone']
com.AnuragNitish.extremeBalancer;android;Extreme Balancer - 3D Ball;In this game you have to balance the ball in the outer space and you have to reach the Earth. Balancing the ball in the space is really a joyful thing ever. There are 16 levels and from first level we will be in the space and in 16 level we will reach to the Earth. We are getting closer to the Earth after every level and finally in 16th level we will be in the Earth.This game will also give you a feeling of astronaut and you can see how the earth is rotating while playing.Story line:- You are an astronaut and you are given a ball to which you have to reach the Earth by balancing it yourself.Tag: 3D Ball, Balance Ball, Extreme Ball, Balancing Game, Ball 3D, Space to Earth, Game on space science.Inspired by:-> Digital India> Make in India> Skill IndiaEnjoy!!;Enteriosoft;8827829994088552831;00;2.5;4.1 and up;2018-10-28;['Everyone']
com.PureFigment.TestingYourMarbles;android;Testing Your Marbles;Testing Your Marbles is a 3D physics based puzzle platformer, which is designed to subtly challenge the mind.You must take control of a fairly normal sphere to complete some not so normal challenges.;Pure Figment;Pure+Figment;00;Varies with device;Varies with device;2017-10-13;['Everyone']
com.mobirix.ballhupking;android;Ball Hole King;It is so much real arcade-like gaming experience. Swipe the call and put it in the hole.With coins earned by playing the game, Make your own ball collections and roll them again![Feature]-Beautiful 3D graphics-Most arcade-like gameplay (Old School Arcade)-Realistic physics by the advanced game engine.-Various & different 26 balls-Achievement, Leader Board Supported-16 language supported-Tablet devices supported[How to play]-Swipe the ball toward wherever you want to move.-Earn scores when your ball roll into the holes  and each hoop have their own score tag.-The game is over when you use up balls in your inventory.-Challenge again for higher scoreHomepage :https://play.google.com/store/apps/dev?id=4864673505117639552Facebook :https://www.facebook.com/mobirixplayenYouTube :https://www.youtube.com/user/mobirix1;mobirix;4864673505117639552;00;1.2.6;4.1 and up;2019-09-02;['Everyone']
com.patyuk.mrc;android;Marble Run;Marble Run - is a fantastic educational toy that provides hours of fun while combining basic learning skills with coordination and organizational skill.Now this game is placed in your pocket.Pay for the game as much as you want. If you think she deserves it.;PS Games Mobile;6993789714792805126;00;1.3.3;4.1 and up;2019-09-21;['Everyone']
com.lot10games.NovaBall3D;android;Nova Ball 3D - Rolling Ball Free;Roll your ball with the virtual joystick and travel in a beautiful 3D deep space environment.Take advantage of your boost button wherever you feel need of more force,  speed or jump and try not to fall of the rails.You don`t have to rush , but if you finish a level fast enough ,you can win more points and eventually you can unlock more textures for your ball. If you don`t hurry, you will still get some points every time you finish a level.You can chose between 16 textures and you can experience 20 levels with ambient space sounds and beautiful graphics.More epic levels soon!Nova Ball 3D - Rolling Ball FreeRolling ball game;Lot10Games;4692939627370696571;00;2.5;4.1 and up;2019-09-17;['Everyone']
com.anifree.balling;android;Balling;Balling is a 3D puzzle, logic, and balance game.Control the ball to travel through the path and reach the goal portal within limited time.Pick up hourglasses to get more time.There are 3 kinds of balls: wooden, stone, and paper.Use the transformers to change to the right ball.This version has 12 levels.More levels coming soon.Suggestions and comments are welcome.Levels walk through: https://www.youtube.com/playlist?list=PLCRbG3aMRHxcaKbS7YMk4AWuw36b_TiSQTags: ballance, balance, ball, balling, 3D;aniFree;aniFree;00;1.8;4.0 and up;2018-06-27;['Everyone']
com.ArtSoft.BalanceBall;android;Balance Ball;Balance Ball provides fantastic game play and accurate physics for Balance Ball enthusiasts.-Features-*Balance Ball*Joystick Supported* Total 30 Section* Exciting and Fun levels!* It's a FREE game!* Compatible with all tabs and mobile devices.* Classic gameplay* No time limits*Play ball game!* Balance 3DHow to Play:Select level and play game.Use right D-Pad to control the movement of Balance Ball.New Balance Ball game. You will have a lot of fun playing Balance Ball.Download and play your new free game "Balance Ball" on Android Google Play!;ArtSoft;ArtSoft;00;1.24;4.1 and up;2019-06-22;['Everyone']
com.karasgamestudios.dungeonball;android;Dungeon Ball - Balance Ball;New Balance Ball game. You will have a lot of fun playing Dungeon Balance Ball.This game is pushing mobile graphics to the limits. High-end devices are recommended for optimal gameplay for Balance 3D.Balance your unique journey through the caves and epic places.You control a ball - a special one. Up to 8 energy sensors are activated on your ball upon collecting magic sources from the chests. Specific magic energies are then required to unlock each locked gate. If you fall, dont worry - you keep all collected energies since the last gate.As you progress further, you will balance through an obstacles, traps, heights and solve puzzles.Types of control:- Touch: Tap virtual buttons multiple times to get slower ball and more precise movement in difficult areas. Hold for the fastest movement.- Control via G-sensor (Tilt): Before starting a game make sure you hold your device horizontally with a slight forward lean (30 degrees).This ball game has only 5 levels, but we are working on new ones. Make sure you check again soon for more exciting balance levels to play.;Karas Games;Karas+Games;00;1.45;5.0 and up;2019-10-03;['Everyone']
com.pronetis.gyrosphere;android;GyroSphere Trials;Join the fun and test your ability to master the GyroSphere!It’s a fast-paced race through endless, unpredictable obstacles and time is running out! Roll, spin, jump, but don’t fall and lose lives! It’s a challenging course in an abstract world, but with uncompromising physics!You will easily learn to control the GyroSphere, but can you master it? Time is of the essence! Only speed and focus will help you unlock more arenas with new challenges ahead! Keep trying to be better and beat your own times! Work your way up!Ready? Go break your own records and tell your friends about it!Features:- Easy, one finger swipe ball control- Super-realistic physics based tracks- Earn points to unlock new arenas- Wildcards let you play a level without losing spheres / lives- Sharing options- Offers in-app purchases to buy more spheres and free play cards.Please contact us with feedback at WeListen@pronetis.com. We’d love to hear from you.;Pronetis Games;4983496457387268056;00;1.5.6;5.1 and up;2018-10-31;['Everyone']
com.ArtSoft.Balance3D;android;Balance 3D;Welcome to the new Balance 3D game! Save the ball by overcoming all obstacles! Balance 3D provides fantastic game play and accurate physics for Balance 3D enthusiasts. Control the ball with the left side of the screen.-Features-• Joystick Supported• Total 30 Section• Exciting and Fun levels!• Great colorful HD graphics• It's a FREE game!• Compatible with all tabs and mobile devices.• Classic gameplay• No time limits• Play ball game!• Balance 3D• Balance BallHow to Play:Select level and play game.Control the ball with the left side of the screen.Use left D-Pad to control the movement of Balance 3D.New Balance Ball game. You will have a lot of fun playing Balance 3D.Download and play your new free game "Balance 3D" on Android Google Play!;ArtSoft;ArtSoft;00;1.2;4.1 and up;2019-08-22;['Everyone']
com.abmgames.planetball;android;Planet Ball Bounce;Control the planets !!! Try this little time-killer ball game.Collect the yellow rings and reach to the final path. This is a 3D maze puzzle ball game. Do you remember the addictive bounce original ball game? A new version of the bounce original. This time play with the planets. Sun, earth, jupiter, uranus etc. Control all planets. But be careful about traps. Funny times.Challenge yourself with difficult levels !!!BALL GAME FEATURRES* 24 levels totally.* 12 levels easy and 10 levels difficult.* All Planets in solar system and sun.* Nice relaxing musics.* Space feel while playing.Easy levels youtube playlist:https://www.youtube.com/watch?v=VW6rmxNpP8E&list=PLy-HUM2RDYEqql4o0QrZR3mxa_dKKkJ9fwebsite:https://abmgamers.blogspot.com.tr/;ABM Games;ABM+Games;00;3.0;4.1 and up;2018-05-05;['Everyone']
com.genico.bounce;android;Bounce Classic;Remember playing Bounce on your old phone? It is now available on your Android devices and it is free!Genico Studio proudly presents, Bounce Classic, a fan-made remake of the Bounce game, which for years was driving you crazy and draining the battery of your old cellphone.Bounce consists of the 11 original levels of the game packed as an original episode.That is not the end of the story, this game contains another brand new series of episodes and many yet to come soon.Enjoy 11 original levels, collect all rings and beware of dangerous thorns. Stay in touch with your friends and beat their scores. Most popular Bounce game - now on your Android devices![Features]1.Completely free game2.Original sounds and effects3.Original levels and more to come4.Endless updates5.Intuitive and easy controls;Genico;Genico;00;1.1.4;4.0 and up;2019-07-03;['Everyone']
com.patyuk.mr2d;android;Marble Run 2D;Marble Run - The famous track designer brings a lot of fun and positive emotions.  This  wonderful game is in your pocket now. It`sIn 2D space this time! Build unusual mechanisms, develop  spatial thinking and engineering abilities.;PS Games Mobile;6993789714792805126;00;1.3;4.1 and up;2019-09-21;['Everyone']
com.classic.bounce;android;Bounce Classic Game;If you are a fan of the classic bounce game, Bounce Classic is game for you. Bounce classic game will bring you back old memories.The player controls a red bouncing ball through 11 levels. He has to avoid obstacles and collect all the rings to get to the next level.Collecting crystals gain extra points, while crystal balls give an extra life. Jumping on rubber floors give extra Bounce.Features:- Beautiful HD graphics- Original levels most popular.- Intuitive controls- Play every where and every timeMost popular mobile classic game: Bounce Classic - now on your Android devices!;OneSoft Global PTE. LTD.;5015266578532322195;00;1.3;4.0.3 and up;2019-10-11;['Everyone']
com.baskosergey.basketroll;android;BasketRoll: Rolling Ball Game;BasketRoll - a unique arcade game with elements of physics and puzzles that has a beautiful three-dimensional graphics.The game is set high in the sky where you have to roll the ball along the roads and overcome various obstacles. The main feature is a way to manage. You do not use the joystick and buttons, you control the ball by tilting. The goal is to roll the ball to the basket and to collect as many stars as possible.FEATURES:- Crazy levels - become the best!- A unique control by means of tilting- A large collection of football, basketball and volleyball balls - make your choice!- Pass all the challenges and reach the finish line- The game is free - download it now!- Does not require internet connection - the game is offline- A game for boys, girls and adults - a game for the whole family- A puzzle game based on the laws of physics- High quality 3D graphics- Best game on the road - the trip will be funny and never boring- The new version of the game - a big update in 2018;Tsybasco;7728893079090776009;00;3.0.1;4.1 and up;2018-08-22;['Everyone']
com.RenownEntertainment.BallHop;android;Ball-Hop Bowling - The Original Alley Roller;The original top rated skew ball style game, FREE!• High Definition 3D graphics• Fun ultra-realistic physics• Tons of prizes to redeem• Premium content available• Google Play Services (Achievements and Leaderboards)This is the FULL version of the game. If you wish to remove ads, simply enter the SHOP and UPGRADE.Play the arcade and carnival classic known as skee ball, roller ball, ramp ball, etc. Different names, but the fun is the same. Roll the ball up the alley with easy swipe control and aim for the score hoops. Hit the special icons for big bonuses. Redeem new balls, themes, prizes and experience nostalgia. Over 5M downloads with the best graphics, physics, and gameplay in the skee ball style game category. Get it now!___HOW TO PLAY• Swipe up on the screen to launch a ball• Aim for the Bonus Icons to enhance your gameADVANCED• Swipe down to grab balls that don't launch• Tilt and Sensitivity settings are in the Pause menuTIPS• Tilt and perform bank shots for extreme control• 3 Bonus Icons = On Fire!• 6 Bonus Icons = Burning Up!___SUPPORT• Please email us at the support address in Contact Information• If you don't receive a reply within 5 business days, check your Spam/Junk folders• We care about our customers and will do our best to help you out___BACKING UP DATAYour data is saved on the device and currently there isn't support to move save data between devices. If you uninstall the game without backing up, you will lose your data. You can use backup tools like Titanium Backup or any other backup program on Google Play. However, we do not encourage/support this and will not be able to provide support if anything goes wrong.;Renown Entertainment;Renown+Entertainment;00;1.14.0.1;4.0.3 and up;2018-06-01;['Everyone']
gdx.bounce.classic;android;Bounce Ball;Do you still remember this bounce game on the old cellphones?Now, let's enjoy the Bounce game with 11 original levels. Collect all rings and beware the dangerous thorns. Stay in touch with your friends and beat their scores.Features:- 11 original levels with fixed bug on old cellphones.- 11 user levels.- Best game mechanism as the old bounce game.- Intuitive controls- Fantastic HD graphics;Bounce Global;Bounce+Global;00;2.4;4.0.3 and up;2018-11-23;['Everyone']
com.boombitgames.DancingBall;android;Dancing Ball World : Music Tap;From the creators of Dancing Line comes a one-touch arcade music game, Dancing Ball! Featuring a distinctive soundtrack, and design, each level is a unique musical journey and challenge!GAME FEATURES:- Multiple levels – each with an original musical piece and atmosphere- Addicting rhythm-based gameplay – listen to the music, tap to avoid obstacles!- Exciting original soundtrack – discover catchy, memorable tunes- Play for the challenge or to relax – the first levels are a peaceful experience, the later ones require reflexes and skills!- Free to play – all of the levels and challenges are available through normal gameplayGAMEPLAY:Each level is a maze built before your eyes. To anticipate what’s coming next and be able to react to its twist and turns you have to listen carefully to the music. The rhythm of the melody is key to everything that happens in the game.Levels are also designed to tell their own stories. Painted in a distinct graphical style, they allow you to visit and explore multiple different environments. Swim near the bottom of an ocean, fight for survival on a tropical island, take a tour of an ancient castle, navigating its walls and making sure not to hit the floor. Feel the Siberian climate of the Winter level.The later levels, where you get to venture into lava-filled tunnels and dangerous caves will be the ultimate test of your skills and reflexes! With time and training, you'll be able to crush all of them!LEVELS INCLUDE:- Ocean - Explore the vast underwater habitat teeming with colorful sea creatures- Island - Venture across a picturesque tropical island- Castle - Cross the drawbridge and attempt to crush the castle- Desert - Fight for survival in this sun-baked environment- Lava - Don’t fall. Remember - the floor is lava!- Winter - is coming! Be careful not to perish in the Siberian temperatures- Cave - Intense, fast-paced level. Can you escape the Cave?Use your reflexes and your sense of music to survive against impossible odds! Dancing Ball is a game of surprising last moment jumps, excitement, and great music. Let it fascinate you!The in-game mission system exists to challenge you even after you complete all of the levels. You will want to come back and relive them, as you will be getting rewarded for doing so!;Cheetah Games;Cheetah+Games;00;1.1.2;4.1 and up;2019-02-22;['Everyone']
com.miloshpetrov.hamster.android;android;Hasty Hamster - A Water Puzzle;Guide Hasty Hamster through the mazes of the Sunken Pyramid!But avoid diving too deep! Once the air runs out, Hasty Hamster will have to start from scratch!Use the mighty Graviton -- the newest Professor's gravity-altering device -- to make water flow out of the way!===Features:★ Physics-based water simulation!★ Unique gameplay -- tilt your phone to change gravity and make water flow! (Uses your phone's accelerometer.)★ 500+ free levels to complete, each generated randomly every time you play it!★ Dangerous hazards: huge boulders, poisoned waters, locked doors, and more!★ 5 powerful bonuses to help Hasty Hamster in the adventure!★ Use both logic and reaction skills to win!★ Easy to understand for kids, brain-challenging for adults -- a fun game for the whole family!★ Many ways to solve each puzzle -- try playing with friends!===Important notices:- Please hold your device tightly while playing, otherwise it may slip.- This game contains in-app purchases that cost real money. You can disable in-app purchases in the settings menu of your device.===Like Hasty Hamster on Facebook! https://facebook.com/hastyhamsterFollow Hasty Hamster on Twitter! https://twitter.com/Hasty_Hamster===Privacy Policy: https://hastyhamster.net/pp.htmlTerms of Service: https://hastyhamster.net/tos.html;Milosh Games;7535209723282666816;00;1.2.3;2.3 and up;2016-11-21;['Everyone']
jp.gr.java_conf.dbit.rail;android;Marble on Rails;Let's watch!You can change the viewpoint and change the number of balls.Video ad reward is removal of banner advertisement and increase of marbles for 24 hours.Course edit mode sample video:https://youtu.be/6qzmcdhbQ6k* Course data Import/Export functionPush "Save Course to..." button.Check "Export" and push "OK" button.Specify the folder and file name you want to output.(Android4)Fixed file is output to the root of internal storage;dbitware;dbitware;00;1.0.3;4.1 and up;2018-08-01;['Everyone']
io.voodoo.tenkyu;android;TENKYU;Roll the ball through a 3D world to reach the goal!Carefully maneuver through stages, or meet your doom!Swipe your finger and tilt the stage and roll the ball.Be careful not to tilt too much! Game over if the ball falls!;VOODOO;VOODOO;00;3.21;4.4 and up;2019-07-16;['Everyone']
